keys,en,ja
pal_lamball,Lamball,モコロン,
pal_cattiva,Cattiva,ツッパニャン,
pal_chikipi,Chikipi,タマコッコ,
pal_lifmunk,Lifmunk,クルリス,
pal_fuack,Fuack,カモノスケ,
pal_fuack_ignis,Fuack Ignis,モモノスケ,
pal_vixy,Vixy,タマモ,
pal_celaray,Celaray,ルミカイト,
pal_celaray_lux,Celaray Lux,エレカイト,
pal_cremis,Cremis,ミルフィ,
pal_croajiro,Croajiro,ブシガエル,
pal_croajiro_noct,Croajiro Noct,ドスガエル,
pal_herbil,Herbil,モモンパ,
pal_teafant,Teafant,チョロゾウ,
pal_gumoss,Gumoss,ナエモチ,
pal_pupperai,Pupperai,ポチムネ,
pal_clovee,Clovee,ポワワ,
pal_jolthog,Jolthog,パチグリ,
pal_jolthog_cryst,Jolthog Cryst,コチグリ,
pal_depresso,Depresso,ンダコアラ,
pal_pengullet,Pengullet,ペンタマ,
pal_pengullet_lux,Pengullet Lux,デンタマ,
pal_penking,Penking,キャプペン,
pal_penking_lux,Penking Lux,ペンキッド,
pal_hoocrates,Hoocrates,ホウロック,
pal_melpaca,Melpaca,メルパカ,
pal_kingpaca,Kingpaca,アルパオー,
pal_kingpaca_cryst,Kingpaca Cryst,アオパオー,
pal_daedream,Daedream,ネムラム,
pal_tanzee,Tanzee,エテッパ,
pal_nox,Nox,カレッパ,
pal_flambelle,Flambelle,ラヴィ,
pal_rooby,Rooby,ヒノコジカ,
pal_mau,Mau,ニャオテト,
pal_mau_cryst,Mau Cryst,チルテト,
pal_rushoar,Rushoar,イノボウ,
pal_foxparks,Foxparks,キツネビ,
pal_foxparks_cryst,Foxparks Cryst,ユキツネ,
pal_killamari,Killamari,ヤミイカ,
pal_killamari_primo,Killamari Primo,ユメイカ,
pal_fuddler,Fuddler,モグルン,
pal_eikthyrdeer,Eikthyrdeer,ツノガミ,
pal_eikthyrdeer_terra,Eikthyrdeer Terra,ヤマガミ,
pal_direhowl,Direhowl,ガウルフ,
pal_caprity,Caprity,ベリゴート,
pal_caprity_noct,Caprity Noct,ベノゴート,
pal_swee,Swee,コモップ,
pal_sweepa,Sweepa,ドンモップ,
pal_turtacle,Turtacle,ヘルメッコ,
pal_turtacle_terra,Turtacle Terra,ゴルメッコ,
pal_hangyu,Hangyu,シメナワ,
pal_hangyu_cryst,Hangyu Cryst,オバケナワ,
pal_woolipop,Woolipop,メリポップ,
pal_woolipop_terra,Woolipop Terra,メリコロネ,
pal_mozzarina,Mozzarina,ミルカルビ,
pal_azurobe,Azurobe,アズレーン,
pal_azurobe_cryst,Azurobe Cryst,アズルーナ,
pal_sparkit,Sparkit,ボルトラ,
pal_kelpsea,Kelpsea,ケルピス,
pal_kelpsea_ignis,Kelpsea Ignis,マグピス,
pal_ribbuny,Ribbuny,ヒメウサ,
pal_ribbuny_botan,Ribbuny Botan,ヨモギウサ,
pal_jelliette,Jelliette,クララン,
pal_jellroy,Jellroy,ユララン,
pal_amione,Amione,リオリネ,
pal_gloopie,Gloopie,ヒメンダコ,
pal_gloopie_primo,Gloopie Primo,ユメンダコ,
pal_galeclaw,Galeclaw,エアムルグ,
pal_wispaw,Wispaw,ニャンシー,
pal_nitewing,Nitewing,ホークウィン,
pal_tombat,Tombat,ニャンバット,
pal_tocotoco,Tocotoco,クルットリ,
pal_univolt,Univolt,ライコーン,
pal_univolt_cryst,Univolt Cryst,レイコーン,
pal_gobfin,Gobfin,シャーキッド,
pal_gobfin_ignis,Gobfin Ignis,シャーマンダー,
pal_loupmoon,Loupmoon,ツキカゲ,
pal_loupmoon_cryst,Loupmoon Cryst,ユキカゲ,
pal_cawgnito,Cawgnito,マスクロウ,
pal_arsox,Arsox,ブルフェルノ,
pal_muffly,Muffly,モコチッチ,
pal_bristla,Bristla,イバラヒメ,
pal_cinnamoth,Cinnamoth,パピテフ,
pal_puffolt,Puffolt,パチマル,
pal_elphidran,Elphidran,シルフィア,
pal_elphidran_aqua,Elphidran Aqua,シルティア,
pal_vanwyrm,Vanwyrm,カバネドリ,
pal_vanwyrm_cryst,Vanwyrm Cryst,シロカバネ,
pal_felbat,Felbat,ヤミトバリ,
pal_vaelet,Vaelet,ヴィオレッタ,
pal_beegarde,Beegarde,ビーナイト,
pal_elizabee,Elizabee,クインビーナ,
pal_lovander,Lovander,ラブマンダー,
pal_grintale,Grintale,ニャンギマリ,
pal_tarantriss,Tarantriss,モモンチュラ,
pal_polapup,Polapup,バニザラシ,
pal_polapup_terra,Polapup Terra,チョコザラシ,
pal_leezpunk,Leezpunk,ダリザード,
pal_leezpunk_ignis,Leezpunk Ignis,チリザード,
pal_gorirat,Gorirat,ゴリレイジ,
pal_gorirat_terra,Gorirat Terra,ゴリガイア,
pal_surfent,Surfent,シーペント,
pal_surfent_terra,Surfent Terra,スナペント,
pal_robinquill,Robinquill,フェザーロ,
pal_robinquill_terra,Robinquill Terra,サンドロ,
pal_flopie,Flopie,ポプリーナ,
pal_wixen,Wixen,フォレーナ,
pal_wixen_noct,Wixen Noct,フォレーオ,
pal_katress,Katress,クレメーオ,
pal_katress_ignis,Katress Ignis,クレメーナ,
pal_helzephyr,Helzephyr,ヘルガルダ,
